ID,conflict_name,ccode,cname,region,secession,battledeadbest,lnbdb,battledeadlow,lnbdl,battledeadhigh,lnbdh,pop,lnpop,dper100k,begin,end,duration,lnduration,rate,lnrate,cw,intervention,democ,lngdp,gdpsq,milper,milperpop,lnmilperpop,milex,milqual,lnmilqual,milq2,mountain,lnmountain,ethfrac,lnethfrac,relfrac,lnrelfrac,relpolar,ethnicpolar
2980,"Egypt 1992-8",651,"EGY",6,0,1347,7.205635,1347,7.205635,1347,7.205635,53602000,17.7971,2.512966,1992,1998,7,1.94591,192.4286,5.259725,0,0,0,7.556428,13.20789,434,8.10e-06,-11.72405,1650000,3801.843,8.243241,13.2483,1,.6931472,.0440085,-3.123373,.1128,-2.182139,0,1
1630,"Lebanon 1958",660,"LEB",6,0,1400,7.244227,1000,6.907755,1400,7.244227,1703000,14.3479,82.20787,1958,1958,1,0,1400,7.244227,1,1,0,7.835975,14.42311,9,5.28e-06,-12.15068,17846,1982.889,7.59231,13.94313,57.10001,4.062166,.1348051,-2.003925,.7534,-.283159,1,1
1540,"India (Nagaland 1956-9)",750,"IND",3,1,1487,7.304516,1487,7.304516,1487,7.304516,397972992,19.8019,.3736435,1956,1959,4,1.386294,371.75,5.918221,1,0,1,6.510258,12.44118,391,9.82e-07,-13.83319,401830,1027.698,6.935077,15.22278,12.9,2.631889,.8864782,-.1204988,.3384,-1.083527,1,1
1293,"India (Naxalites 1996-2002)",750,"IND",3,1,1494,7.309212,1494,7.309212,1494,7.309212,929358016,20.65001,.1607561,1996,2002,7,1.94591,213.4286,5.363302,0,0,1,7.297157,11.41487,1260,1.36e-06,-13.51114,9992000,7930.159,8.978428,16.98637,12.9,2.631889,.8864782,-.1204988,.3384,-1.083527,1,1
2170,"Sri Lanka (JVP 1971)",780,"SRI",3,0,1630,7.396335,1260,7.138867,2000,7.600903,12516000,16.34252,13.02333,1971,1971,1,0,1630,7.396335,1,0,1,7.125283,8.439023,10,7.99e-07,-14.03993,19411,1941.1,7.57101,14.02004,7.3,2.116256,.4670414,-.7613373,.4762,-.7419174,1,1
2720,"Indonesia (Aceh 1989-91)",850,"INS",4,1,1750,7.467371,1750,7.467371,1750,7.467371,171994000,18.96297,1.017477,1989,1991,3,1.098612,583.3333,6.368759,0,0,0,7.455298,12.63433,284,1.65e-06,-13.314,1402000,4936.62,8.504436,15.08638,10.5,2.442347,.7640584,-.2691111,.2216,-1.506881,0,1
1621,"Iraq 1959",645,"IRQ",6,0,2000,7.600903,500,6.214608,2000,7.600903,6473000,15.68315,30.89758,1959,1959,1,0,2000,7.600903,1,0,0,7.994295,14.97882,64,9.89e-06,-11.52427,86810,1356.406,7.212594,14.86777,6,1.94591,.3624712,-1.01481,.4922,-.7088701,1,1
1270,"Costa Rica 1948",94,"COS",2,0,2000,7.600903,2000,7.600903,2000,7.600903,766000,13.54894,261.0966,1948,1948,1,0,2000,7.600903,1,1,1,7.196687,10.15035,1,1.31e-06,-13.54894,1411,1411,7.252054,14.80219,22.2,3.144152,.07109,-2.643808,.2578,-1.355571,1,0
2210,"Oman (Dhofar Rebellion)",698,"OMA",6,0,2000,7.600903,500,6.214608,2000,7.600903,672000,13.41801,297.619,1972,1975,4,1.386294,500,6.214608,1,1,0,8.679992,16.91446,4,5.95e-06,-12.03172,38517,9629.25,9.172561,17.58372,2.8,1.335001,.23702,-1.439611,.375,-.9808292,1,1
2250,"Chile 1973",155,"CHL",2,0,2095,7.647309,2095,7.647309,2095,7.647309,9853000,16.10329,21.26256,1973,1973,1,0,2095,7.647309,1,0,1,8.256348,15.7849,75,7.61e-06,-11.7858,300000,4000,8.294049,13.71549,57.59999,4.070735,.1404371,-1.962996,.1958,-1.630661,1,1
3190,"Guinea-Bissau 1998-9",404,"GNB",1,0,2350,7.762171,1700,7.438384,3999,8.293799,1137060,13.94396,206.6734,1998,1999,2,.6931472,1175,7.069024,0,1,0,6.528833,12.39045,7,6.16e-06,-11.99805,8000,1142.857,7.041286,15.10544,0,0,.803757,-.2184584,.545,-.6069695,1,1
3120,"Pakistan (MQM 1995-6)",770,"PAK",3,0,2500,7.824046,2500,7.824046,2500,7.824046,119401848,18.59801,2.09377,1995,1996,2,.6931472,1250,7.130899,0,0,1,7.273865,11.17534,580,4.86e-06,-12.23498,3585000,6181.035,8.729241,16.09902,43,3.78419,.644509,-.4392665,.3662,-1.004576,1,1
2171,"Sri Lanka (JVP 1989-90)",780,"SRI",3,0,2800,7.937375,2800,7.937375,2800,7.937375,16587000,16.62413,16.88069,1989,1990,2,.6931472,1400,7.244227,0,1,0,7.614805,13.49752,22,1.33e-06,-13.53309,321000,14590.91,9.588154,18.70752,7.3,2.116256,.4670414,-.7613373,.4762,-.7419174,1,1
